元件名,封装名称,数量,总数
0,0805,1,30
0.1UF,0805,7,100
10K,0805,1,30
10UF,1206,6,0
10k,0805,8,0
10pf,0805,2,0
1M,0805,1,0
1k,0603-ARC,1,0
1k,0805,3,0
2N7002,SOT-23,3,0
AMS1117,SOT223,1,0
ATMEGA328P-AU,TQFP32-08,1,0
BLM21,0805,1,0
CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,1,0
DIO4148-0805,DIO4148-0805,4,0
DIODE-SCHOTTKY-M7,SMA-DIODE,1,0
FIDUCIAL,FIDUCIAL_1MM,2,0
PANASONIC_D,11,2,0
S9013SOT23,SOT-23,3,0
